序号,招式,描述,益处,注意事项,常见问题
0,屈肘下犬式,1.猫式进入2、双手向前移动半个手掌，屈双肘掌心小臂贴向地面，脚尖点地3、呼气时，臀部向上双膝伸直，低头眼睛看向双脚之间4、保持5-8次呼吸，或者更长5、吸气抬头，呼气屈膝跪地，双臂伸直回到猫式,1.增加手臂及上背部力量。2、伸展腿部后侧N胂肌。3、可防止体内器官下垂以及皮肤松弛。4、平静大脑，缓解精神疲劳感，有效的帮助放松。5、为难度更高的蝎子式、头倒立、手倒立等体式做准备,"1.如怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性可抬头看双掌间，不要低头。",拱背，脊柱没有伸展。解决方式：启动肩胛区域的背阔肌上提。脚跟踩不到地面。解决方式：微屈双膝，脚跟抬高，腰背部挺直向上。
1,下犬式,"1.从婴儿式进入2、吸气抬头脚趾回勾3、呼气,提臀向上,让臀部朝向天花板4、手指大大张开,让臀部向上提，延展背部，大腿前侧肌肉上提5、双手、双脚与胯同宽,脚跟向下,舒展腋窝6、放松颈部,头部自然垂悬,眼睛看向大腿之间7、保持5-8个呼吸。8、吸气，抬头膝盖落地,回到婴儿式",1.拉伸腿部后侧及跟腱，舒展背部及腰部两侧。2.帮助运动跑步者提高速度，使腿部变得轻盈，强化全身力量。3.缓解肩关节炎症，脚后跟的僵硬和疼痛，增强脚踝稳定性。4.平静大脑，缓解精神疲劳感，有效的帮助放松。5.可防止体内器官下垂以及皮肤松弛。还可缓解皮肤松弛。6.此体式为高难度倒立类体式做准备。,"1.如在怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性可抬头看双掌间，不要低头。",拱背，脊柱没有伸展。解决方式：启动肩胛区域的背阔肌上提。脚跟踩不到地面。解决方式：微屈双膝，脚跟抬高，腰背部挺直向上。
2,下犬式扭转,1.从下犬式开始2、呼气，抬右手抓住你得左脚脚踝外侧3、把手抓较低的位置，自己的极限保持4、左手用力向下推垫子5、保持30秒到1分钟6、吸气，恢复下犬式,1.拉伸腿部后侧及跟腱，舒展背部及腰部两侧。2.帮助运动跑步者提高速度，使腿部变得轻盈，强化全身力量。3.缓解肩关节炎症，脚后跟的僵硬和疼痛，增强脚踝稳定性。4.帮助平静大脑，缓解精神疲劳感，有效的帮助放松。5.可防止体内器官下垂以及皮肤松弛。还可缓解皮肤松弛。,"1.如怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性抬头看双掌间，不要低头。",下方支撑手向前滑。解决方式：1.下方手推砖保持。2.将下方手虎口位置压实地面。
3,蜥蜴式,1.从下犬式进入2、吸气，将右脚向前迈到右手外侧，膝盖与踝关节垂直，脚尖向外45度。3、呼气，将你的左膝着地，脚背贴地。4、吸气，延展背部。5、呼气，弯曲你的手肘于地面，骨盆自然下沉，右脚掌平坦地踩在垫子上。6、保持5-8个呼吸。7、吸气，双手掌心压实垫子。呼气，把你的右脚向后回到下犬式。,1.深度的伸展髋部、后腿肌腱和大腿前侧（股四头肌）。2.促进骨盆区域的血液循环，缓解女性妇科疾病及经期不畅。3.达到身心放松、头脑平静。,"如怀孕后期,或是胯部,膝关节、手腕有病症、血压异常或患有眩晕病的人群请勿练习。",拱背向上，脊柱没有向前伸展。解决方式：可将双手下方垫毛毯来练习，或者双手掌撑地，确保脊柱挺直向前。
4,低弓箭步扭转,1.由下犬式进入。2、吸气，右脚向前迈至两手之间，膝盖位于脚踝正上方。3、呼气，左膝压在瑜伽垫上。4、吸气，双臂举过头顶，掌心相对，左手放在右膝盖外侧，右手扶后腿。6、呼气，手掌轻推前膝，轻轻扭转右后方，眼睛看右肩方向。7、保持5-8个呼吸。8、吸气，松开双手，身体回正；呼气，将双手置于右脚两侧压地，撤右腿向后回到下犬式。,1.拉伸髋部、大腿、腹股沟部位的肌肉，舒展胸部。2.加强肩部、上背部、核心肌群、大腿和脚踝力量。3.缓解背部的僵硬感及颈椎病。4.助消化系统、按摩内脏及缓解身心的疲惫感。,如有膝盖、髋部、背部或肩部有病症及不适，请勿练习。,问：后膝压力过大，怎么解决？答：可以在膝盖下方垫上毛毯来缓解。
5,半猴式,1.下犬式进入2、吸气，迈右脚向前到双掌间，屈右膝3、呼气，左膝、脚背落地（臀部与膝盖上下垂直）双手指尖点地4、吸气，前方膝盖伸直5、重心后移到左膝6、吸气，胸腔向前带动背部延伸7、呼气，屈肘身体折髋向下，额头贴向小腿8、保持5-8次呼吸9、吸气抬头，双手掌心压地，呼气后脚趾回勾，前腿向后撤回到下犬式,1.深度的拉伸腿后侧的肌腱和后背部；2.帮助达到身心放松、头脑平静；3.此体式为高级神猴式做准备。,"1.如在怀孕后期,或是后背,胯部,手腕有病症、血压异常或患有眩晕病的人群请勿练习；2.如果髋部和膝盖有病症，请勿练习。",前腿无法伸直？解决方式：可根据自身情况保持微屈膝。后膝压力过大，出现疼痛？解决方式：后膝下方垫毛毯。
6,低弓箭步后仰,1.由下犬式进入；2.右脚向前迈，踩在两手之前，确保膝盖位于脚踝正上方；3.左膝压在垫子上；4.吸气，躯干挺直，双臂举过头顶，双手合十；5.慢慢地打开胸腔，尽力后仰，进入后仰姿势。6.持续前推尾椎骨，缓解下背部的压力。7.保持5-8个呼吸。8.退出体式时，吸气的同时直立上身，呼气，将双手分置于前脚两侧，回归下犬式。,1.充分拉伸大腿、髋部、腹部、胸部和肩部。2.增强上背部与核心肌群的力量。3.提升脊柱的柔韧度。4.帮助舒展腋窝淋巴系统，缓解肩颈疾病，还可舒展胸部和心脏部位，刺激肾脏和肾上腺,如有膝盖、髋部、背部或肩部有病症及不适，请勿练习。,后膝压力过大，出现不适和疼痛。解决方式：1.后膝下方垫毛毯或毛巾。2.后脚背向下推地或脚趾回钩蹬地，启动膝盖周边肌群，保护膝关节。
7,低弓箭步,1.由下犬式进入；2.左脚向前迈到两手之间，确保膝盖位于脚踝正上方；3.右膝放于垫子上；4.吸气，躯干挺直，双臂举过头顶，掌心相对；5.尾椎向地板延伸，放松肩部，目视前方；6.髋部尽力向下沉；7.保持5-8个呼吸；8.退出体式时，呼气，将双手放于前脚两侧，前脚向后撤回到下犬式。,1.充分拉伸大腿、髋部、腹部、胸部和肩部。2.增强上背部与核心肌群的力量。3.缓解肩颈疾病，还可舒展胸部和心脏部位，刺激肾脏和肾上腺。,如有膝盖、髋部、或肩部有病症及不适，请勿练习。,后膝压力过大，出现不适和疼痛。解决方式：1.后膝下方垫毛毯或毛巾。2.后脚背向下推地或脚趾回钩蹬地，启动膝盖周边肌群，保护膝关节。
8,单腿下蹲,1.双角式进入；2.呼气，上半身前屈，手指指尖触碰地面；3.将重心转移到右脚上；4.弯曲右膝，臀部向右脚方向移动；5.挺直躯干，双手合十于胸前；6.伸展左腿，放松肩膀；7.保持几次呼吸的时间；8.退出体式时，伸直双腿，吸气的同时回到站姿。,1.拉伸大腿内侧机髋关节；2.增强腿部力量；3.舒展腋窝及淋巴系统及肩颈疾病，也可以舒展胸部和心脏部位，刺激肾脏和肾上腺。,如膝盖、脚踝或髋部有病症及不适，请勿练习。,上身躯干，重心过于向前倾。解决方式：提胸腔向上，脊背挺直垂直于地面。
9,加强侧伸展式,1.下犬式进入；2.吸气右腿向前迈到双手之间，调整髋部两边保持平行；3.双腿自然伸直，后脚跟用力向下踩地；4.吸气时，胸腔向前延展脊柱，呼气时放松上半身折髋向下，俯在前腿上方；5.额头贴近左腿胫骨，双手放于小腿两侧；6.保持5-8个呼吸；7.退出体式时，前腿向后回到下犬式。,1.深度拉伸腿部后侧与后背部。2.增强腿部与腹部的力量。3.可防止体内器官下垂以及皮肤松弛。4.平静大脑，缓解精神疲劳感，有效的帮助放松。,如膝盖、髋部或背部有病状不适感的人群，请勿练习。,"双腿无法伸直,重心不稳定。解决方式：根据自身的情况选择动作的幅度大小。拱背，脊柱没有延展向下。解决方式：双手推瑜伽砖将腿伸直，腰背部挺直向前保持此体式"
10,抱肘前屈式,1.山式站立进入；2.呼气，上身从髋部向下；3.弯曲膝盖，双手抱住手肘，身体保持放松；4.上身随意向两侧摆动，前后转移重心；5.保持5-8个呼吸。或者更长。6.退出体式时，吸气，缓缓地抬起上身，回到山式。,1.舒缓地拉伸背部后侧，及腿后侧和腰背部。2.缓解腰背部的紧张感与压力。3.可防止体内器官下垂以及皮肤松弛。4.平静大脑，缓解精神疲劳感，有效的帮助放松。,如背部疼痛或有病症及不适的人群，请勿练习。,双腿后侧伸不直？解决方式：根据自身的柔韧情况调整膝盖幅度，初级学员屈膝也是可以的，感受腿后侧有伸展即可。
11,起跑式,"1.山式站立进入；2.呼气后前屈,让指尖点地；3.右脚向后撤,确保左膝在左脚踝正上方；4.吸气时，延长脊柱,并用力伸展右腿，脚跟与地面垂直；5.保持5-8次呼吸；6.退出体式时,收回右腿,吸气时起身回到山式。","1.伸展髋部和整个脊柱。2.增强脚踝,大腿,腹股沟和后背部肌肉力量。3.增强身体的平衡感。",如胯部或膝盖、脚踝有病症及不适的人群，请勿练习。,后腿无力，重心不均衡？解决方式：关注呼吸，有意识将后腿伸直上提。拱背，脊柱延展不充分？解决方式：手扶瑜伽砖辅助，使背部充分延展。
12,侧平板单腿伸展式,1.板式进入；2.用左脚外侧支撑身体，向右侧转身，进入侧平板支撑；3.右脚趾在身体后方触垫，左脚脚趾向外扭转45度，脚底踩在地面上，抬高臀部；4.弯曲右膝盖，踩在左膝前方；5.用右手的食指与中指勾住右脚大脚指；6.慢慢将右腿伸直向上，指向天花板，凝视上方脚趾；7.保持5-8次呼吸；8.退出体式时，呼气，松开上方手指，回到板式。,1.充分拉伸髋部，大腿内侧和腹股沟肌肉。2.增强手腕、手臂、肩膀和核心肌群的力量。3.提升平衡感和专注力。,如髋部、手腕、手肘、肩膀有病症及不适的人群，请勿练习。,重心不稳定，怎么办？解决方式：根据自身情况来选择动作的幅度大小。手腕压力过大？解决方式：平衡需要更加专注呼吸。
13,站立体前屈,"1.山式站立进入；2.吸气,手臂上举过头顶;呼气,从髋部折髋向下,将上身躯干找向双腿；3.让坐骨朝向天花板的同时,延长你的脊柱；4.如果可以的话,双手抓住小腿或脚踝；5.带着觉知,保持呼吸顺畅,并加深体式,伸展你的N绳肌和后背；6.保持5-8个呼吸；7.退出体式时,吸气双手引领身体向上站立起来，回到山式站立。",1.拉伸大腿后侧肌群和下背部，缓解下背部的挤压。2.可防止体内器官下垂以及皮肤松弛。3.平静大脑，缓解精神疲劳感，有效的帮助放松。,如背部或胯部有病症或不适感，请勿练习。,严重拱背。解决方式：可微屈膝，背部要延展向下，感受身体有拉伸感即可。额头贴不到小腿。解决方式：根据自身的情况调整幅度，不要勉强。双膝后侧无法伸直。解决方式：根据自身的情况调整幅度，不要勉强。
14,简易侧平板支撑,1.双手双脚着地，屈膝跪立于垫子上进入；2.左脚向左后方打开，重心转移到左膝和左手上；3.右脚后撤，伸直右腿；4.向右侧扩展身体，右髋在左髋之上，面向侧面墙壁；5.右脚内侧着地；6.右臂伸展，指向天花板，转动头部，目视上方指尖；7.保持5-8次呼吸；8.退出体式时，呼气，右手落回地面，回到四肢着地式。,1.增强手腕、手臂、肩膀和核心肌群的力量。2.提升平衡感和专注力。3.此体式为中级（侧平板支撑式）及高级（侧平板单腿伸展式）做准备。,如手腕、肩膀、膝盖（下方可垫毛毯）有病症或不适感，请勿练习。,下方膝盖压力过大。解决方式：膝盖下方垫毛毯或毛巾。
15,半站立前屈,"1.山式站立；2.呼气,前屈折叠,指尖碰到地面；3.延长脊柱,眼睛向下看；4.保持5-8呼吸；5.退出体式时,吸气,回到山式。","1.轻柔伸展胯部,N绳肌和下背部；2.伸展整个脊柱。",1.如髋部或下背部有病症及不适的人群，请勿练习；2.生理期的女性，请勿练习。,双手触不到地面。解决方式：双手可扶小腿前侧，做到有伸展感即可。
16,站立前屈-开肩式,"1.山式站立进入；2.双手与背后十指交扣，吸气胸腔向上延展；3.呼气,从髋部折髋向下,来到站立体前屈，手臂自然垂向地板的方向；4.两个肩胛骨向中间靠拢,放松颈部；5.保持5-8个呼吸；6.退出体式时,松开双手,吸气起身,回到山式。","1.深度延展N绳肌群,下背部,手臂及肩部。2.减少下背部的挤压3.可防止体内器官下垂以及皮肤松弛。4.平静大脑，缓解精神疲劳感，有效的帮助放松。",1.如膝关节、髋关节有病症及不适的人群，请勿练习。2.生理期的女性，请勿练习。,额头贴不到小腿。解决方式：根据自身的情况可微屈膝，感受身体有拉伸感即可。手臂无法伸直。解决方式：双手抓伸展带，增加肩部区域的空间。
17,单腿屈膝下犬式,1.由下犬式进入；2.双脚并拢；3.吸气，抬起左腿向上伸直，脚掌心找向天花板；4.慢慢地将髋转向左侧，使左髋位于右髋的正上方；5.左膝自由弯曲；6.双手和站立腿脚后跟不断下压；7.保持5-8个呼吸；8.退出体式时，呼气，胯部回归水平位置，左脚放下来，回到下犬式。,1.充分拉伸腿筋、髋部和腹股沟肌肉。2.拉伸背部、胸部、肩膀、大腿、小腿肌肉与跟腱。3.提升平衡感和专注力。4.可防止体内器官下垂以及皮肤松弛。5.平静大脑，缓解精神疲劳感，有效的帮助放松。,1.如处于孕晚期或背部、髋部、肩膀或手腕有病症及不适的人群，请勿练习。2.生理期的女性，请勿练习。,上方胯部向外翻转困难。解决方式：做到自己的极限即可，初学者可适当减少幅度
18,单腿下犬式,1.由下犬式进入；2.双脚并拢；3.吸气，抬起伸展右腿向上，脚掌心朝向天花板；4.确保肩部和胯部的水平，左脚脚后跟尽力下压；5.放松颈部，头部自然下垂或目视下方腿；6.保持5-8个呼吸；7.退出体式时，呼气，放下右脚回到垫子上，还原下犬式。,1.拉伸背部、胸部、肩膀、腿筋、腹股沟肌肉、小腿肌肉与跟腱。2.增强整个上半身、臀肌和大腿的力量。3.提升平衡感和专注力。,1.如处于孕晚期或背部、髋部、肩膀或手腕有病症及不适的人群，请勿练习。2.生理期的女性，请勿练习。,上方髋部外翻。解决方式：将上方髋部向下降低，保持骨盆中正。
19,敬礼式,1.山式站立进入；2.双脚打开，距离略宽于髋部；3.呼气，弯曲双膝，用臀部去找向后脚跟；4.大腿向两侧分开，略宽于躯干，身体前倾，上半身夹在大腿之间；5.双手在胸前合十，手肘抵住膝盖内侧，更好地拉伸髋部；6.臀部下沉，拉伸脊柱，肩膀放松；7.保持5-8个呼吸；8.结束时，吸气，双脚用力踩地，手扶髋，身体直立回到山式站立。,1.充分拉伸髋部和腹股沟肌肉。2.增强脚踝、核心肌群、肩膀和背部的力量。3.促进骨盆区域的血液循环。4.有利于孕妇更好的顺产。,如背部、髋部或膝盖有病症及不适的人群，请勿练习。,拱背，重心偏向后。解决方式：提胸腔向上，脊柱向上伸展。
20,双角A,1.双脚分开一条腿长距离，宽距站姿进入；2.脚后跟向外侧微分开；3.呼气，上身折髋向下，手掌放在肩膀正下方的垫子上；4.目视地板，吸气的同时，头顶向前和尾椎骨向后分别向两个方向伸展；5.呼气，双手后撤，来到两脚之间，弯曲肘部，直到上臂与地板平行；6.保持5-8个呼吸；7.退出体式时，双手扶在髋部，吸气时，收紧臀部起身向上。,1.拉伸腿筋、腹股沟肌肉、髋部和腰背部。2.增强臀部、腿部和脚踝的力量。3.改善消化系统功能，防止皮肤、面部及内脏下垂。4.消除失眠，镇静神经系统。,如腰背部或髋部有病症及不适和高血压、心脏病的人群，请勿练习。,头部触不到地面。解决方式：根据自身的情况，做到自己的极限即可。双肘向两侧打开。解决方式：双肘向内收垂直于肩部
21,敬礼式扭转,1.由宽距深蹲式进入；2.吸气，左臂抬起，伸到背后，肩膀向左侧伸展；3.右臂环绕住右腿；4.右手在背后抓住左手手腕，目光看向左上方；5.保持5-8个呼吸；6.退出体式时，吸气松开双手，呼气，身体还原换边。,1.充分拉伸髋部和腹股沟肌肉。2.增强脚踝、核心肌群、肩膀和背部的力量。3.缓解僵硬的背部。,如肩膀、背部、髋部或膝盖有病症及不适的人群，请勿练习。,双手无法相扣在一起。解决方式：双手抓伸展带来保持
22,双角式A扭转前屈式,1.双脚分开一条腿长的距离，宽距站姿进入；2.脚后跟向外侧微分开；3.呼气，上身折髋向下，手掌放在肩膀正下方的垫子上；4.目视地板，吸气的同时，头顶向前和尾椎骨向后分别向两个方向伸展；5.左手手掌移动到面部下方，向右侧扭转上半身的同时打开胸腔，右臂向上伸直于地面垂直，指向天花板；6.慢慢转头，看向上方右手指尖；7.确保两边臀部平行；8.保持5-8个呼吸；9.退出体式时，呼气，颈部、肩部和腹部慢慢地回正，双手先落地扶在髋部，吸气，后背挺直，微屈膝收紧臀部，起身向上回到山式站姿。,1.拉伸腿筋、腹股沟肌肉、髋部和腰背部、灵活肩部。2.增强臀部、腿部和脚踝的力量。3.改善消化系统功能，防止皮肤、面部及内脏下垂。4.消除失眠，镇静神经系统。,如腰背部或髋部有病症及不适和高血压、心脏病的人群，请勿练习。,臀部不在一条水平线上。解决方式：在扭转时，控制臀部不动，在向上扭转。
23,双角变体式,1.双脚分开一条腿长距离，宽距站姿进入；2.呼气，上身折髋向下，手掌放在肩膀正下方的垫子上；3.双手移向左脚，握住脚部或小腿；4.胸部贴近左腿，确保两只脚均匀受力；5.保持5-8个呼吸；6.结束时，双手回到中心处，吸气的同时回到山式站姿。,1.拉伸腿筋、腹股沟肌肉、髋部和腰背部。2.增强臀部、腿部和脚踝的力量。3.改善消化系统功能，防止皮肤、面部及内脏下垂。4.消除失眠，镇静神经系统。,如腰背部或髋部有病症及不适和高血压、心脏病的人群，请勿练习,臀部不在一条水平线上。解决方式：在扭转时，控制臀部不动，在向一侧扭转。
24,双角式C,1.山式站立进；2.脚后跟向外打开，双手扶髋；3.吸气时双手到背后十指交叉胸腔上提，呼气时身体前屈；4.双手在背后扣实，双臂放松，自然垂向地面；5.两边肩胛骨向中线夹，放松颈部；6.保持5-8个呼吸；7.退出体式时，松开双手，吸气的同时起身，回到山式。,1.拉伸腿筋、腹股沟肌肉、髋部和腰背部、灵活肩部。2.增强臀部、腿部和脚踝的力量。3.改善消化系统功能，防止皮肤、面部及内脏下垂。4.消除失眠，镇静神经系统。,如肩部、腰背部或髋部有病症及不适和高血压、心脏病的人群，请勿练习。,肘关节超伸。解决方式：双臂向下时，肘关节保持微弯曲。
25,双角式半体前屈,1.双脚分开一条腿长距离，宽距站姿进入；2.脚后跟向外打开，双手扶髋；3.呼气，身体折髋向下，双手指尖接触肩膀正下方的地板；4.头顶向前和尾椎骨向后分别向两个方向伸展；5.保持5-8个呼吸；6.退出体式时，双手扶髋，吸气的同时微屈膝收紧臀部起身，回到站姿。,1.拉伸腿筋、腹股沟肌肉、髋部和腰背部。2.增强臀部、腿部和脚踝的力量。3.改善消化系统功能，防止皮肤、面部及内脏下垂。4.消除失眠，镇静神经系统。,如腰背部或髋部有病症及不适和高血压、心脏病的人群，请勿练习。,双膝伸的过直，压力过大解决方式：双膝可保持微弯曲
26,侧平板支撑,1.板式进入；2.吸气，双脚后撤，来到平板支撑体式；3.将重心转移到左手，用左脚外侧边缘支撑身体；4.身体向右侧打开，右脚踝放于左脚踝上面；5.确保身体呈一条直线，髋部上提；6.右臂向上伸展，指尖指向天花板，转动头部，目视上方指尖；7.保持5-8个呼吸；8.退出体式时，呼气的同时放下右手，回到板式。,1.增强手腕、手臂、肩膀和核心肌群的力量。2.缓解精神压力，强化免疫系统，消除臀部、腕部、腰部、腹部、大腿等部位的多余脂肪，塑造身体优美线条。3.提升平衡感和专注力。,如手腕、手肘或肩膀有病症及女性经期的人群，请勿练习。,重心不稳定。解决方式：可将腿弯曲，脚掌心踩在下方腿前侧。手腕压力过大。解决方式：下方虎口压实地面
27,手倒立,1.下犬式进入；2.5指大大的张开，找到指尖去抓地的感觉，看着你的两手之间，脚向前走；3.呼气，向上缓慢的抬起一条腿超过你的头顶；4.找到一个平衡点并且抬起另一条腿，要确保你的肩膀的稳定和重心结合；5.保持5-8次平稳的呼吸；6.退出体式时，呼气时，慢慢放下双腿回到下犬式或婴儿式放松。,1.强健手臂、腿部和脊椎，防止腿部静脉曲张及缓解腿部疲劳和疼痛。2.刺激内分泌二腺，脑下垂体和松果体（瑜伽直接影响新陈代谢和健康）3.按摩内脏改善循环，改善消化系统。4.帮助缓解更年期症状，对哮喘、脱发、失眠、记忆力衰退有辅助治疗作用。5.增强身体的平衡感，使大脑平静并且帮助缓解轻微忧郁，加强专注力。,1.如高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肘部、肩颈部发炎，请勿练习。2.女性经期间请勿练习。3.初学者想尝试请在老师指导下练习，以免摔伤。,重心不稳定。解决方式：可选择靠墙练习找到稳定后，慢慢再离开墙保持。
28,蝎子倒立,1.屈肘的下犬式进入；2.将手掌心和小臂贴到垫子上与肩同宽；3.双脚向前走，走到胸腔的前侧，让背部保持立直，眼睛看向前方；4.当你的臀部升到一定高度的时候，慢慢地抬起一条腿；5.平衡点在你的前臂上面并且慢慢地把双脚并在一起；6.保持住重心的稳定，双腿保持伸直；7.保持5-8次平稳的呼吸；8.退出体式时，呼气把双脚慢慢放下，回到婴儿式放松,1.加强脊椎的柔韧度，使其保持健康。2.灵活脊椎，增强腰背部力量。3.缓解地吸引力造成的压迫，使内脏器官得到休息。4.促进头部及全身血液循环。5.消除头疼，减轻失眠和记忆力衰退，锻炼平衡能力，提升专注力。,1.如高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肘部、肩颈部发炎，请勿练习。2.女性经期间请勿练习。3.初学者想尝试请在老师指导下练习，以免摔伤。,手肘不稳定，向两侧推开。解决方式：伸展带捆绑于肘上方，手内侧摆放瑜伽砖，固定住手臂根基。双腿重心不稳定。解决方式：双腿内侧向中线收紧。
