序号,招式,描述,益处,注意事项,常见问题
29,蝎子式,1.猫式进入；2.弯曲手肘放在垫子上，双手臂与肩同宽；3.手指尽力张开，双腿伸直，双脚向前移动；4.抬高臀部背部保持延展，先抬起一条腿，顺势发力抬起双腿；5.用两臂保持身体的平衡，小臂内侧及手腕压实地面；6.慢慢地弯曲膝盖，保持重心，脚趾向头部推送；7.保持5-8次平稳的呼吸；8.退出体式时，吸气的同时放下双腿，回到猫式或到婴儿式休息。,1.加强脊椎的柔韧度，使其保持健康。2.灵活脊椎，增强腰部力量。3.缓解地吸引力造成的压迫，使内脏器官得到休息。4.促进头部及全身血液循环。5.消除头疼，减轻失眠和记忆力衰退，锻炼平衡能力，提升专注力。,1.如高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肩颈部发炎，请勿练习。2.女性经期间请勿练习。3.初学者想尝试请在老师指导下练习，以免摔伤。,手肘不稳定，向两侧推开。解决方式：伸展带捆绑于肘上方，手内侧摆放瑜伽砖，固定住手臂根基。双腿重心不稳定。解决方式：可选择脚靠墙练习找到稳定后，慢慢再离开墙保持。
30,单腿肩倒立,1.平躺屈膝进入；2.双手掌心按压垫子，双脚来到头顶心的后侧，来到犁式；3.用双手支撑腰背部，指尖向上；4.双腿慢慢伸直指向天花板，去辅助肩立式；5.保持双腿伸直，放低右腿，脚趾在头部前方接触地板；6.平稳地呼吸，调整双臂向中线移动，肩胛骨向中间靠近；7.坚持5-8次平稳的呼吸；8.退出体式时，抬起左腿，还原至辅助肩立式，或用左腿去找右腿，回到平躺。,1.增强核心肌群、腿部和肩膀的力量。2.促进头部及身体的血液循环，按摩脏腑器官，利于肠道消化。3.促进肾上腺正常分泌，减轻烦躁、紧张、失眠等症状。4.适合压力过大，工作紧张，生活节奏快的人群练习，同时还可提高大脑活力。5.放松身心，平静心情。,如高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肩颈部发炎，请勿练习。,颈椎有压力。解决方式：肩部下方垫毯子。肘关节向两侧打开。解决方式：将两个肘部向中线加，垂直于肩膀保持向下推地。
31,头倒立,1.猫式进入；2.屈肘双小臂贴向垫子，距离以双手能够抱住对侧的手肘为准；3.双手十指相扣，记得把小拇指缩起来，以防受伤；4.将头顶置于垫上，后脑抵住手掌心，双腿伸直，双脚向前走；5.伸直双膝，抬高臀部，双脚前移，直至你的躯干与地面近似垂直；6.如果你的躯干和双腿足够笔直，脚趾会自然地离开地面。把身体的重量分散到前臂和肘部，以此调整头部承受的重量；7.弯曲膝盖，脚后跟慢慢向上贴近臀部，膝盖贴近胸口；8.下方肩膀背部向上发力，向天花板方向蹬直双腿，两脚并拢；9.耳朵、肩膀、胯部和脚踝保持在一条直线上，眼睛看向鼻尖或者闭合双眼；10.坚持8-20个呼吸，或者更长；11.退出体式时，呼气，脚趾慢慢地回到地板上，到婴儿式休息。,1.强健手臂、腿和脊椎，防止静脉曲张，缓解腿部疲劳和疼痛。2.刺激内分泌二腺，脑下垂体和松果体（瑜伽直接影响新陈代谢和健康）3.强健肺，调和腹部器官，改善循环，提高消化能力4.帮助缓解更年期症状，对哮喘、脱发、失眠、记忆力衰退有辅助治疗作用。5.增强身体的平衡感，使大脑平静并且帮助缓解轻微忧郁，加强专注力。,1.如有高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肩颈部发炎，请勿练习。2.请勿随意郁动头部，否则容易扭伤颈椎。3.女性经期间不可练习。4.初学者想尝试请在老师指导下练习，以免伤到颈椎或摔伤。,头顶心压力过大。解决方式：可选择来靠墙练习。双腿不稳定解决方式：双腿内侧向中线收紧。
32,犁式,1.平躺在垫子上，双膝弯曲，手掌朝下放于身体两侧进入；2.双手按压地面，抬起双腿，举过头顶；3.伸直双腿，脚趾用力，贴向地板；4.十指交叉，轻轻地移动肩胛骨向中间靠拢，扩展胸腔；5.保持该姿势5-8次稳定的呼吸；6.退出体式时，松开双手，掌心压向地面，缓缓地展开脊椎一节节落回地面，回归平躺休息术。,1.增强核心肌群、腿部和肩膀的力量；2.促进头部及身体的血液循环，按摩脏腑器官，利于肠道消化；3.促进肾上腺正常分泌，减轻烦躁、紧张、失眠等症状，经常练习还能预防感冒；4.适合压力过大，工作紧张，生活节奏快的人群练习，同时还可提高大脑活力；5.放松身心，平静心情。,1.女性经期间请勿练习；2.初学者想尝试请在老师指导下练习，以免摔伤。,颈部压迫，不舒适。解决方式：肩部下方垫毛毯手臂无法伸直解决方式：手抓伸展带创造肩颈空间
33,肩倒立,1.平躺与垫子上进入；2.双手按压地面，并且呼气时抬起双腿，越过头顶脚趾点地；3.用手托住后背指尖朝上，保持背部直立；4.慢慢抬起双腿往上，保持伸直越过头顶，腹部内收，向内卷臀；5.双肘和肩部向下推地，不要让颈椎受到挤压，眼睛看向鼻尖；6.保持5-8次呼吸，或者更长；7.退出体式时，双脚向下落地，回到犁式，或者松开双手回到仰卧平躺。,1.增强核心肌群、腿部和肩膀的力量；2.促进头部及身体的血液循环，按摩脏腑器官，利于肠道消化；3.促进肾上腺正常分泌，减轻烦躁、紧张、失眠等症状，经常练习还能预防感冒；4.适合压力过大，工作紧张，生活节奏快的人群练习，同时还可提高大脑活力；5.放松身心，平静心情。,1.如肩颈部疼痛或发炎，请勿练习；2.请勿向两侧转动头部，防止颈部受伤；3.女性经期间请勿练习。,肘部过于向两侧分开。解决方式：将肘部大臂于肩部保持一条直线。上方腿部没有垂直肩膀。解决方式：启动核心及腿部力量，将上方腿垂直肩膀。颈部有压力。解决方式：肩下方垫毛毯
34,头手倒立,1.金刚坐进入；2.将头顶心着地，双手均匀下压地面稳定；3.双腿慢慢向中线收回并且伸直；4.吸气时，核心收紧双腿缓慢向上抬离地面，先保持与地面平行，一半的高度，找到身体的稳定后，双腿向上伸直与地面垂直；5.体式保持中要注意下方的手和头部均衡受力，大腿内侧收紧夹向中线；6.保持稳定的呼吸5-8次，或者更长；7.退出体式时，双腿控制慢慢向下落回地面，回到屈膝跪地婴儿式放松。,1.强健手臂、腿和脊椎，防止静脉曲张，缓解腿部疲劳和疼痛；2.刺激内分泌二腺，脑下垂体和松果体（瑜伽直接影响新陈代谢和健康）；3.强健肺，调和腹部器官，改善循环，提高消化能力；4.帮助缓解更年期症状，对哮喘、脱发、失眠、记忆力衰退有辅助治疗作用；5.增强身体的平衡感，使大脑平静并且帮助缓解轻微忧郁，加强专注力。,1.如有高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肩颈部发炎，请勿练习；2.请勿随意郁动头部，否则易扭伤颈椎；3.女性经期间请勿练习；4.初学者想尝试请在老师指导下练习，以免伤到颈椎或摔伤。,肘部过于向两侧分开。解决方式：将肘部大臂于肩部保持一条直线头顶心压力过大。解决方式：启动双腿及腹部核心力量向上减轻头部压力
35,倒箭式,1.平躺与垫子上进入；2.双手按压垫子，呼气腹部内收将双腿抬起，来到头部上方；3.用双手支撑腰背部，指尖朝上；4.向外展肩，用下巴抵住胸口；5.慢慢抬起双腿往上，保持伸直越过头顶，腹部内收，向内卷臀；6.双肘和肩部向下推地，双腿向下倾斜45度，不要让颈椎受到挤压，眼睛看向鼻尖；7.保持5-8次呼吸，或者更长；8.退出体式时，双脚向下落地，回到犁式，或者松开双手回到仰卧平躺。,1.增强核心肌群、腿部和肩膀的力量。2.促进头部及身体的血液循环，按摩脏腑器官，利于肠道消化。3.促进肾上腺正常分泌，减轻烦躁、紧张、失眠等症状，经常练习还能预防感冒。4.适合压力过大，工作紧张，生活节奏快的人群练习，同时还可提高大脑活力。5.放松身心，平静心情。,1.如肩颈部疼痛或发炎，请勿练习。2.请勿向两侧转动头部，防止颈部受伤。3.女性经期间不可练习。,肘部过于向两侧分开。解决方式：将肘部大臂于肩部保持一条直线颈部有压力。解决方式：肩膀下方垫毛毯
36,屈膝头倒立式,1.猫式进入；2.屈肘双小臂贴向垫子，距离以双手能够抱住对侧的手肘为准；3.双手十指相扣，把小拇指缩起来，以防受伤；4.将头顶置于垫上，后脑抵住手掌心，双腿伸直，双脚向前走；5.伸直双膝，抬高臀部，双脚前移，直至你的躯干与地面近似垂直；6.把身体的重量分散到前臂和肘部，以此调整头部承受的重量；7.弯曲膝盖，脚后跟慢慢向上贴近臀部，膝盖贴近胸口；8.下方肩膀背部向上发力，向天花板方向蹬直双腿，两脚并拢；9.耳朵、肩膀、胯部和脚踝保持在一条直线上，眼睛看向鼻尖或者闭合双眼；10.坚持8-20个呼吸，或者更长；11.退出体式时，呼气，脚趾慢慢地回到地板上，到婴儿式休息,1.强健手臂、腿和脊椎，防止静脉曲张，缓解腿部疲劳和疼痛。2.刺激内分泌二腺，脑下垂体和松果体（瑜伽直接影响新陈代谢和健康）3.强健肺，调和腹部器官，改善循环，提高消化能力4.帮助缓解更年期症状，对哮喘、脱发、失眠、记忆力衰退有辅助治疗作用。5.使大脑平静并且帮助缓解轻微忧郁，加强专注力。,1.如有高血压、心脏病、疝气、视网脱落，脊柱歪曲，肩颈部发炎，请勿练习。2.请勿随意郁动头部，否则容易扭伤颈椎。3.女性经期间不可练习。4.初学者想尝试请在老师指导下练习，以免伤到颈椎或摔伤。,头顶心压力过大。解决方式：可选择来靠墙练习。双腿不稳定。解决方式：1.双小臂向下推地，减轻头部压力。2.双腿内侧夹砖
37,膝碰耳犁式,1.犁式进入；2.弯曲膝盖并使膝盖接近耳朵两侧；3.双手交叉放在背部后侧，并进行深呼吸；4.保持5-8次平稳的呼吸；5.放松交叉的双手，身体慢慢随着脊柱一节一节向下落回地面，并回到仰卧。,1.伸展脊柱，颈椎，肩膀的肌肉。2.使躯干、心脏和双腿得到很好的锻炼，有助于腰部的血液循环。3.防止内脏、子宫下垂。4.放松身心，平静大脑。,1.如肩颈部疼痛或发炎，请勿练习。2.请勿向两侧转动头部，防止颈部受伤。3.女性经期间不可练习。,颈椎压力过大。解决方式：后脑勺和双肩双肘向下推地，肩膀下方垫毛毯。双膝无法着地。解决方式：双膝无法着地，伸直双腿退回犁式即可。
38,三角头倒立,1.金刚坐进入；2.将头顶心着地，双手均匀下压地面稳定；3.双腿慢慢向中线收回并且伸直；4.吸气时，核心收紧双腿缓慢向上抬离地面，先保持与地面平行，一半的高度，找到身体的稳定后，双腿向上伸直与地面垂直；5.体式保持中要注意下方的手和头部均衡受力，大腿内侧收紧夹向中线；6.保持稳定的呼吸5-8次，或者更长；7.退出体式时，双腿控制慢慢向下落回地面，回到屈膝跪地婴儿式放松。,1.强健手臂、腿和脊椎，防止静脉曲张，缓解腿部疲劳和疼痛。2.刺激内分泌二腺，脑下垂体和松果体（瑜伽直接影响新陈代谢和健康）3.强健肺，调和腹部器官，改善循环，提高消化能力4.帮助缓解更年期症状，对哮喘、脱发、失眠、记忆力衰退有辅助治疗作用。5.增强身体的平衡感，使大脑平静并且帮助缓解轻微忧郁，加强专注力。,1.如有高血压、心脏病、疝气、视网膜脱落，脊柱歪曲，肩颈部发炎，请勿练习。2.请勿随意郁动头部，否则容易扭伤颈椎。3.女性经期间不可练习。4.初学者想尝试请在老师指导下练习，以免伤到颈椎或摔伤。,肘部过于向两侧分开。解决方式：将肘部大臂于肩部保持一条直线。头顶心压力过大。解决方式：启动腹部核心力量向上减轻头部压力
39,蛙式,1.猫式进入；2.慢慢地移动你的双膝向两侧打开，保持舒适的宽度，屈肘小臂贴地；3.确保你的脚踝在你的膝盖正下方并且脚趾朝外；4.放松臀部并且让臀部自然放松往下沉到地面，去感受臀部和大腿内侧的伸展；5.如果可以的话，将上身趴向地面，双手互抱手肘，额头放于手背上，闭眼放松，专注当下的呼吸；6.保持8-20次深长的呼吸，或者更长；7.退出体式时，吸气，慢慢把你的手和膝盖收回来，回到猫式或者俯卧地面。,1.深度的拉伸髋部和腹股沟肌肉。2.促进骨盆血液循环，缓解髋部僵紧及痛经。3.缓解压力，帮助放松，平静大脑。,如膝盖和髋部有炎症，请勿练习。,上身无法贴向地面。解决方式：1.身体下方垫瑜伽抱枕，或枕头。2.根据自身情况，不可勉强身体向下以免受伤。
40,半蝗虫式,1.俯卧于地面进入；2.把你的下巴贴地，双手放在身体下面，并且十指交叉，也可以把双手掌朝下，如果你感觉到更加舒适的话；3.吸气，伸展你的右腿抬高朝着天花板，慢慢双腿向上，并且保持膝盖伸直；4.保持5-8次平稳的呼吸；5.退出体式时，呼气，并且慢慢的把双腿放下来，放松双手回到仰卧。,1.增强脊柱的弹性，对于预防腰椎间盘突出的后期康复大有益处；2.提高膀胱和前列腺的功能，可以有效的改善男性性功能，同时还有助于促进消化功能；3.防止臀部下垂，增强臀肌、腿部、核心和下背部力量,如有背部，肩膀不适及腰间盘突出症状人群，请勿练习。,呼吸混乱、急促。解决方式：持呼吸稳定，如压力过大，适当减小动作幅度。
41,半青蛙式,1.俯卧与垫子上进入；2.弯曲双肘，小臂撑地，确保你的手肘在的你肩膀正下方；3.右边小臂放在胸腔的下方，指尖朝向左边；4.弯曲你的左边膝盖，将左手抓住脚背；5.慢慢旋转你的左边手肘朝向天花板，左脚趾尖指向正前方；6.慢慢将左脚靠近左侧臀部的旁侧；7.挤压你的骨盆接近垫子并且避免让你的右边肩膀耸肩；8.保持5-8次深长的呼吸；9.退出体式时，呼气，然后放松右脚，身体回到屈肘的眼镜蛇式。,1.拉伸小腿，踝关节，大腿前侧，臀部，腹部，肩膀和胸部；2.促进脊柱的柔韧性。,如有腰椎、肩膀或者踝关节的炎症，请勿练习。,手抓不到后方脚背。解决方式：1.可用瑜伽伸展带套住脚背上。2.感受大腿前侧有拉伸感即可，不要勉强身体。
42,半蝗虫式（初级）,1.俯卧与地面进入；2.把你的下巴贴着地面，双手放在你的身体下面并且双手靠拢在一起，如果感觉到更加舒适的话，你也可以把你的双手掌心朝下；3.吸气，将右腿抬高离开地面，抬到最高的位置，保持两边髋部平行；4.保持5-8次平稳呼吸；5.退出体式时，呼气，慢慢把上方腿放下来还原。,1.增强脊柱的弹性，对于预防腰椎间盘突出的后期康复大有益处；2.提高膀胱和前列腺的功能，可以有效的改善男性性功能，同时还有助于促进消化功能；3.防止臀部下垂，增强臀肌和腿部、核心、下背部力量。,如有背部，肩膀不适及腰间盘突出症状，请勿练习。,肩颈过于紧张。解决方式：肩胛向脚跟的方向拉脖颈延长即可。
43,八体投地式,"1.从平板式进入；2.呼气时，让双膝落地,胸口直接落在双手之间,下巴轻轻点在垫子上；3.手肘往内夹,让髋部保持离地；4.保持5-8次呼吸；5.退出体式,呼气,身体直接俯卧下来。",1.促进内脏自我按摩和自愈，加强肠道蠕动。2.强化大臂力量及身体协调能力。3.血液会流向双肩胛骨区域和胸部，对于喉轮和胸轮有刺激作用。,"如有手腕,手肘,肩膀,后背或颈椎发炎，请勿练习。",肘部向两侧打开。解决方式：肘部向内收，大臂夹向身体。胸口没有落于手掌中间。解决方式：胸口想前推移，落在双手中心
44,蝗虫式,1.俯卧与地面上进入；2.把你的下N近地板，双脚并拢，你的双手沿著你的身体；3.吸气抬头，把胸部，手臂，大腿离开地面，把下腹的耻骨压在垫子上；4.把你的肩膀放松远离耳朵；5.伸展胸部，延长背部和颈部，保持背部、颈部和脊柱在同一条直线上；6.保持5-8次平稳的呼吸，或者更长；7.退出体式时，呼气慢慢落回地面，把你的头部转向一侧休息。,1.增强脊柱的弹性，对于预防腰椎间盘突出的后期康复大有益处。2.提高膀胱和前列腺的功能，可以有效的改善男性性功能，同时还有助于促进消化功能。3.防止臀部下垂，增强臀肌和腿部、核心、下背部力量,如有背部不适，请勿练习。,问：身体上下起伏幅度较。答：可根据自身情况，适当减小动作幅度。问：呼吸急促、混乱答：保持在一个能接受的高度停留稳定的呼吸，不要憋气。
45,单腿鸽王前屈式,1.下犬式进入；2.吸气，屈右膝右脚放于左手腕的后侧；3.呼气时左腿向后伸展，下压臀部接触地板。确保右脚后跟与左胯位于同一条直线之上，脚部弯曲放松，保护膝盖；4.双手按在垫子上，肩膀向后延展，扩展胸腔，身体轻微后仰；5.呼气时，慢慢地将双手前移，带动上半身前屈，压在右腿上面。体会右侧胯部、大腿、腹股沟肌肉与臀部的充分拉伸。保持深呼吸，放松身体；6.保持5-8次深长的呼吸，或者更长；7.退出体式时，吸气，慢慢地将双手收回身体两侧，起身，前腿向后撤回到下犬式。,1.拉伸髋部，提高髋部的柔韧性。2.修复腰椎的扭曲，使荷尔蒙得以正常作用。促进骨盆血液循环，治疗经痛，月经不调3.放松身心，平静心情。,如膝盖或髋部发炎，请勿练习。,髋部出现歪斜。解决方式：减少动作幅度，将屈膝的脚向内收，脚跟抵住会阴处，再将另一侧髋部下沉地面膝关节不舒适。解决方式：脚背持续有力推地，减少膝关节压力
46,单腿鸽王式,1.下犬式进入；2.吸气，屈右膝右脚放于左手腕的后侧；3.呼气时，左腿向后伸展，下压臀部接触地板。确保右脚后跟与左胯位于同一条直线之上，脚部弯曲放松，保护膝盖；4.双手按在垫子上，肩膀向后延展，扩展胸腔，身体轻微后仰；5.呼气时，肩膀和左侧髋部同时下沉，体会右侧胯部、大腿、腹股沟肌肉与臀部的充分拉伸。保持深呼吸，放松身体；6.保持5-8次深长的呼吸；7.退出体式时，吸气，慢慢地将双手收回身体两侧，起身，前腿向后撤回到下犬式。,1.拉伸髋部，提高髋部的柔韧性。2.增强上背部与核心肌群的力量。3.修复腰椎的扭曲，使荷尔蒙得以正常作用。促进骨盆血液循环，治疗经痛，月经不调。,如膝盖或髋部发炎，请勿练习。,髋部出现歪斜。解决方式：减少动作幅度，将屈膝的脚向内收，脚跟抵住会阴处，再将另一侧髋部下沉地面。膝关节不舒适。解决方式：脚背持续有力推地，减少膝关节压力。
47,俯卧式,1.俯卧与地面进入；2.向一侧扭转头部（左或右）手臂置于身体两侧或向前方伸展，放松；3.闭上眼睛，使整个身体柔软下来，逐渐变沉；4.放松紧绷的肌肉，自然地呼吸（1-2分钟）；5.长时间保持这个姿势。,1.放松身体，平静心情，修复大脑。2.减少压力与疲劳。,如膝盖或髋部发炎，请勿练习。,双脚并拢。解决方式：双脚分开与肩同宽
48,狮身人面像式,1.俯卧于垫子上进入；2.下巴抵住地板，双手手掌置于肩膀下方；3.吸气，运用背阔肌的力量向下，将胸部抬离向上离开地面；4.双手前移，前臂贴地，相互平行；5.确保手肘位于肩膀的正下方；6.放松肩膀和腿部，打开胸腔，肩膀下沉，目视前方；7.保持5-8次平稳的呼吸；8.退出体式时，呼气，胸部缓缓地落回垫子上，双手臂置于身体两侧回到俯卧放松。,1.拉伸腹前侧，消除背痛，治疗脊椎疾病，改善脊椎轻微移位。2.锻炼手臂关节、心脏和颈部肌肉，塑造优雅美颈。3.刺激腹部、盆腔器官，有助于消除腹部脂肪，打造平坦美腹。4.可以替代眼镜蛇式的简单体式。,如有背部、肩膀有不适及孕妇，请勿练习。,向上耸肩。解决方式：启动背阔肌将双肩向下沉，远离耳朵。
49,雷电坐变体,1.跪姿进入；2.双手来到臀部的后方大约一个手掌的距离，指尖指向臀部；3.吸气时胸腔上提，呼气时，弯曲肘部，双膝向上抬离地面，眼睛看向前方；4.意识专注在身体拉伸的部位，做到自己能承受的位置即可；5.保持5-8次，深长的呼吸；6.退出体式时，双膝缓慢落回地面，双手向前掌心推地，双小腿向一侧打开，回到山式坐姿放松。,1.拉伸脚踝前侧。2.有助于软化膝关节韧带，缓解扁平足。3.对于盆腔和腹腔的血流和神经直接产生作用,"如脚踝或膝盖有炎症,请勿练习。",双膝向两侧分开。解决方式：双膝保持并拢脚背疼痛。解决方式：脚背下垫毛毯
50,猫拱背式,"1.从四肢着地进入体式；2.确认双肩在手腕正上方,胯在膝盖正上方,十个指头大大张开；3.呼气,卷动骨盆,把脊柱拱起；4.肚脐找向脊柱方向,背部用力向上推向天空,双手压实垫子；5.保持5-8次平稳的呼吸；6.退出体式时,吸气,让背部回到中立位置与地面保持平行。","1.拉伸中背部,双肩和脊柱两侧的肌肉群。2.按摩腹部，增强消化功能，改善便秘情况。3.缓解僵硬的脊柱和背部，使脊柱更加柔软。4.该体式非常的温和、安全，可经常练习，尤其在睡前练习。5.可改善睡眠质量，对于女性改善痛经月经不调有很好的效果。","如有手腕、膝关节、背部发炎,请勿练习。",耸肩。解决方式：双肩下沉。肩膀超过手腕。解决方式：肩膀垂直于手腕的正上方。
51,猫伸展式,1.猫式进入；2.双手向前伸直，臀部与膝盖保持垂直；3.放松你的脖子，将下巴贴在垫子上，保持肩膀放松，下腹上提不要塌腰；4.保持5-8次呼吸；5.退出体式时，把你的手往后移动朝着身体的方向，回到到猫式或婴儿式。,1.增强脊柱的弹性和髋部的灵活性；2.放松紧绷的肩颈部；缓解精神压力；3.伸展背部，减轻背疼；4.调养妇女生殖器官，缓解痛经；5.促进消化，缓解轻度便秘；,如有膝盖或者肩膀的炎症，请勿练习。,下巴贴不到地面。解决方式：将幅度减小，屈肘小臂贴地。呼吸急促、混乱。解决方式：呼吸自然稳定，不要憋气。过度塌腰。解决方式：腹部内收，避免塌腰
52,牛式,"1.从四肢着地进入体式；2.确认双肩在手腕正上方,胯在膝盖正上方,十个指头大大张开；3.吸气,让你的尾骨上提,朝向天花板；4.眼睛平视前方或看向天花板,注意不要让双肩塌陷,启动肩部力量,并让耳朵远离肩膀；5.在这保持5-8次平稳的呼吸；6.退出体式时,呼气,让背部回到中立位置与地面保持平行","1.拉伸中背部,双肩和脊柱两侧的肌肉群。2.按摩腹部，增强消化功能改善便秘情况，3.缓解僵硬的脊柱和背部，使脊柱更加柔软。4.该体式非常的温和、安全，可经常练习，尤其在睡前练习。5.可改善睡眠质量，对于女性改善痛经月经不调有很好的效果。","如有手腕、膝关节、背部发炎,请勿练习。",耸肩。解决方式：双肩下沉。肩膀超过手腕。解决方式：肩膀垂直于手腕的正上方
53,门闩式,"1.从跪立坐姿进入，臀部坐向脚后跟；2.双膝与胯同宽,起身上半身直立；3.左脚往旁侧打开,脚趾指向左侧正前方；4.吸气,右手臂延伸向上；5.呼气,左手放在左大腿上；6.将左手向下滑动,上半身倒向左侧,右手沿着耳侧举过头顶；7.保持5-8次平稳的呼吸；8.退出体式时,随吸气提起上半身;呼气,双手落下,收回左腿。","1.伸展胯部,腿部内侧和后侧。2.有效缓解中下背部疼痛。3.对糖尿病，关节炎、哮喘有辅助效果。4.按摩腹部器官，对消化系统和泌尿生殖系统有很好的疗效。","如有膝盖,胯部,后背或肩膀炎症,请勿练习。",下方膝关节压力过大，出现疼痛不适。解决方式：将膝关节下方垫毛毯
