序号,招式,描述,益处,注意事项,常见问题
114,鱼式,1、仰卧进入2、双腿并拢伸直，掌心朝下放于臀部下方3、呼气时收腹，弯曲肘部推地，胸腔向上提4、头顶心点地，凝视眉心，绷直脚背，脚尖朝下5、保持5-8次深呼吸6、退出体式，轻抬头部，下背、中背、上背部缓慢落于地面，回到仰卧,1、舒展腹部、胸部、肩颈肌肉2、加强背部力量，美化颈部线条3、理疗背部与肩颈疼痛,颈部或肩膀、肘部有炎症，请勿练习,问：感觉脖颈有压力，怎么办？答：说明肩背部力量薄弱，加大肘推地的力。
115,鱼式高级,1、仰卧进入2、双手放在臀部下方，掌心朝下3、手肘推地，挺起胸腔向上，手肘向中间靠近，头顶心点地，双腿缓慢向上抬离地面，伸直与地面倾斜45度4、腹部收紧，控制腿部高度不变5、保持5-8次深呼吸6、退出体式，双腿落回地面，缓慢将头部抬离，舒展颈后侧7、屈膝双手环抱小腿于胸前，前后滚动，缓解背部肌肉,1、舒展腹部、胸部、肩颈肌肉2、加强背部、腿部及核心力量，美化颈部线条3、理疗背部与肩膀疼痛,颈部或肩膀、肘部有炎症，请勿练习,问：抬起双腿后，感觉头顶压力加大，怎么办？答：意识专注到腹部核心的力量控制，躯干控制力增强，头部代偿会随之减小。问：腹部隆起怎么办？答：呼气时，回收腹部靠向脊柱即可，注意不憋气。
116,快乐婴儿式,1、仰卧进入2、弯曲双膝，将双膝贴向胸部3、双手抓脚外侧4、小腿垂直于地面5、双膝自然下沉，充分展开髋关节6、保持5-8次深呼吸，或者更长7、退出体式，松开手，伸直双腿回到平躺,1、深度拉伸臀部与下腰背2、舒缓腰骶僵紧3、放松身体，平静大脑,膝盖、髋部、背部有炎症，谨慎练习,问：耸肩向上怎么办？答：双肩舒展并下压地面，保持胸部平展
117,单腿锁腿式,1、仰卧进入，背部紧贴地面2、弯曲右膝靠向胸部3、双手交叉抱住右膝4、保持5-8次深呼吸5、退出体式，松开手，伸直右腿回到仰卧,1、消除肠胃胀气、缓解便秘2、舒展背部与臀部肌肉3、按摩腹部脏器，消除腰腹多余脂肪,背部、腹部、臀部有炎症，谨慎练习。,问：腰背部僵紧适合练习吗？答：这是非常好的理疗腰背体式。问：容易耸肩怎么办？答：保持双肩远离耳朵，背部贴实地面，胸部平展。
118,双腿锁腿式,1、仰卧进入，背部紧贴地面2、吸气时，弯曲双膝靠向胸部3、双手交叉抱住双膝，肩膀下沉放松4、保持5-8次深呼吸5、退出体式，松开手，双膝伸直，回到仰卧,1、消除肠胃胀气、缓解便秘2、舒展背部与臀部肌肉3、按摩腹部脏器，消除腰腹多余脂肪,背部、腹部、臀部有炎症，谨慎练习,问：腰背部与臀部肌肉，有酸痛感，怎么办？答：说明腰背部存在肌肉僵紧现象，可以减小动作幅度，将手放于膝盖窝处即可。
119,仰卧手抓脚趾伸展式,1、仰卧进入2、弯曲右膝靠向胸前，用右手食指、中指与大拇指钳住大脚趾3、右腿伸直，脚后跟蹬向天花板4、左腿紧贴地板延展，双肩舒展放松5、保持5-8次深呼吸6、退出体式，解开手指，伸直右腿，回到仰卧,1、舒展髋部、腹股沟、腿后侧与跟腱2、打开髋关节，加速骨盆血液循环3、改善腿部浮肿，美化双腿线条4、理疗腰背部,腿部筋腱、髋部发炎，请勿练习,问：手抓住脚后不能伸直，怎么办？答：使用瑜伽伸展带作为辅助，可根据自身腿部柔韧性调节长度。
120,仰卧束角式,1、仰卧进入2、弯曲双膝，脚掌心相对（脚跟尽量靠近耻骨）膝盖打开并放松3、吸气，双臂举过头顶，双手互抱手肘4、呼气，放松肩膀与髋部及大腿内侧5、保持1-2分钟深呼吸，或者更长6、退出体式，双手帮助将膝盖合并，伸直双腿，回到仰卧,1、舒缓髋部、腹股沟与肩膀2、调节血压，缓解下背部疼痛、静脉曲张和坐骨神经痛3、改善消化不良与肠胃胀气4、增强肾功能，改善泌尿系统功能，减少女性痛经与白带过多4、平静大脑，舒缓神经,髋部、膝盖、肩膀发炎，请勿练习,问：双腿无法平展落于地面，膝盖翘起过高，怎么办？答：双膝外侧放两块瑜伽砖或毛毯，不强求腿内侧格外舒展，循序渐进练习即可。
121,仰卧手抓脚趾式,1、仰卧进入2、右膝弯曲到胸前，右手食指与中指、大拇指，钳住大脚趾3、右腿伸直，蹬出脚后跟4、将右腿展开向身体右侧，确保两侧臀部均匀沉向垫子5、保持5-8次深呼吸。6、退出体式，抬起右腿，呼气时，伸直右腿，回到仰卧,1、拉伸髋部、腹股沟、腿内侧与跟腱2、打开髋关节，加速骨盆血液循环3、改善腿部浮肿，美化双腿线条4、理疗腰背部,腿部筋腱、髋部发炎，请勿练习,问：手抓住脚后不能伸直，怎么办？答：使用瑜伽伸展带作为辅助，可根据自身腿部柔韧性调节长度。
122,仰卧鸽式,1、仰卧进入2、右脚放在左大腿上，脚趾回勾3、左脚离开垫子，双手十指交叉抱住左腿胫骨（小腿骨）4、呼气时，膝盖拉向胸部，感受腰背与臀部舒展5、保持5-8次深呼吸，或者更长6、退出体式，松开双手，双脚踩回地面,1、充分拉伸髋部、臀部外侧2、平静大脑，舒缓心情3、理疗坐骨神经痛,膝盖、髋部发炎，请勿练习,问：膝盖翘起很高，感觉骨盆很僵紧，怎么办？答：说明大腿内侧过于僵紧，可用手推膝关节，帮助舒展。问：臀部抬离地面太高，怎么办？答：尽量使腰背部下压地面，帮助下背部舒展。
123,仰卧扭转式,1、仰卧屈膝进入2、手臂展开与肩膀平齐，掌心朝下3、双膝靠向胸前4、呼气，将双腿向右侧扭转，直到右膝落于地面5、保持左肩贴向地板6、头部向左扭转，放松颈部7、保持5-8次深呼吸，或者更长8、退出体式，将双膝摆正，回到仰卧,1.伸展腹部核心肌群、胸肌与背肌2、消除颈肩腰背及脊柱疼痛3、按摩腹腔消化系统，缓解便秘4、释放压力，平静大脑,背部、肩膀、脊柱或髋部发炎，请勿练习,问：扭转时，感觉呼吸不畅，怎么办？答：在扭转前，先让脊柱伸展拉长，扭转后，持续观察胸腔或腹腔的呼吸起伏。
124,侧卧单腿伸展式,1、仰卧于地面2、身体反转向右侧，右手托住头部（右耳的旁侧）3、弯曲左膝，左手食指、中指与大拇指钳住左脚趾，并伸直左腿向上，脚趾尖指向天花板4、眼睛看上方脚趾，放松肩膀5、保持5-8次深呼吸，或者更长6、退出体式，弯曲左腿下落，回到仰卧,1.拉伸髋部、腿部与跟腱2、打开髋关节，加强骨盆血液循环3、改善腿部浮肿，美化双腿线条,髋部或肩膀发炎，请勿练习,问：手抓住脚后不能伸直，怎么办？答：使用瑜伽伸展带作为辅助，可根据自身腿部柔韧性调节长度。
125,幻椅式,1.山式站姿进入2.双脚并拢，大脚趾内侧并拢，双手扶髋，呼气时，臀部下蹲弯屈双膝，吸气时手臂向上伸直，大臂置于耳朵两侧，呼气时肩膀下沉，腹部肋骨内收3.抬头看向双掌间，保持5-8次呼吸4.注意膝关节不能超过脚尖，用背阔肌的力量将肩膀拉向臀部5.退出体式时，吸气伸直双腿，呼气手臂落回到山式站姿,1.加强背部、腿部力量和踝关节的稳定性及身体平衡性。2.缓解肩部僵硬及腰背疼痛3.提升横膈膜，心脏也会得到轻柔的按摩。,脚踝有病症的人群，请勿练习。,耸肩解决方式：肩膀放松肋骨外翻解决方式：呼气时肋骨内收膝关节超过脚尖解决方式：重心向后坐，感觉像坐在椅子上。
126,幻椅扭转式,1.山式进入；2.呼气时，弯曲双膝臀部向下坐，双手合十于胸前，将右侧大臂外侧抵住左膝外侧，翻转胸腔向上，转头眼睛看向左上方；3.注意臀部不要向一侧倾斜，指向正后方，上方肩膀向后向下沉；4.双手掌心互推，大姆指指向胸口的正中间，腹部与大腿保持空间，不要压在大腿上方，专注于呼吸的稳定；5.保持5-8次呼吸；6.退出体式时，呼气转头看地面，松开双手回到站立前屈时放松；,1..加强背部、腿部力量和踝关节的稳定性及身体平衡性；2.缓解肩部僵硬及腰背疼痛；3.按摩腹部器官，缓解便秘，放松僵紧的背部。,1.脚踝和肩膀有病症的人群，请勿练习；2注意膝关节不要超过脚尖。,上身压在大腿上解决方式：上身远离大腿骨盆歪斜解决方式：骨盆均匀向后推送腹股沟挤压解决方式：腹股沟柔软
127,幻椅式扭转侧伸展式,1.幻椅式进入；2.双手合十于胸前，呼气时上半身扭转向右侧，双臂打开伸直并上下保持垂直，掌心朝外；3.转头眼睛看向上方手指尖；4.注意臀部不要向一侧倾斜，指向正后方，上方肩膀向后向下沉；5.专注于上背部的扭转，保持呼吸的稳定；6.保持5-8次呼吸；7.退出体式时，呼气，转头看地面，双手落回脚两侧，双腿伸直伸展腿部后侧，放松到站立前屈式。,1..加强背部、腿部力量和踝关节的稳定性及身体平衡性；2.缓解肩部僵硬及腰背疼痛；3.按摩腹部器官，缓解便秘，放松僵紧的背部。,1.脚踝和肩膀有病症的人群，请勿练习；2.注意膝关节不要超过脚尖。,上身压在大腿上解决方式：上身远离大腿骨盆歪斜解决方式：骨盆均匀向后推送。
128,侧角捆绑式,1.战士二式进入，2.上方左手到身体后侧掌心朝外，右手穿过右膝下方抓住背后的左手腕，3.吸气抬头看向上方，胸腔延展，呼气，上方肩膀向后延伸，让背部与后腿保持成一条直线，5.上半身尽量向上远离大腿，后脚内外侧均匀推地，后腿内侧上提，6.保持5-8次稳定的呼吸，7.退出体式时，低头看地面，呼气，松开双手到脚两侧，回到下犬式。,"1.加强脚踝,大腿和核心肌群，2.伸展胯部,腹股沟,大腿内侧及侧腰部，3.治疗颈部以及肩关节部位的疼痛，4.缓解颈椎僵直症，有很好的疗效，还可改善驼背姿态","如果膝盖,肩膀或颈椎发炎,请勿练习。",双手与背后扣不到一起解决方式：双手与背后抓住伸展带
129,简易侧角式,"1.战士二式进入;2.呼气时，弯曲右侧手肘放于右大腿上方，吸气，上方左手臂向上延伸到耳朵旁侧转头眼睛看向上方天花板，呼气时将肩膀下沉放松;3.双脚要保持均匀推地，后腿内侧要有力上提;4.保持5-8次稳定的呼吸;5.退出体式时,用左腿和核心力量把身体回到战士二式.","1.加强脚踝,大腿和核心肌群。2.伸展胯部,腹股沟,大腿内侧及侧腰部3.治疗颈部以及肩关节部位的疼痛。4.缓解颈椎僵直症，有很好的疗效，使得脊椎骨骼柔韧，并提高精神集中。","如果膝盖,肩膀或颈椎发炎,请勿练习",含胸拱背，胸腔朝下解决方式：翻转胸腔指向正前方前腿部压力过大解决方式：后腿内侧收紧上提下侧腰挤压解决方式：下侧腰同等舒展
130,侧角式,描述；1.战士二进入；2.把左脚的重心转向垫子的前面；3.弯曲你的左腿直到膝盖正对着你的踝关节，调成你必要的距离；4.把你的左手移到你的左脚内侧，把你的右边手臂抬起来并且贴着你的右耳朵，手掌朝下，建立一个直线延长你的右脚到右手指尖；5.挤压你的右脚到垫子上，把腹部拉进来，联结你的臂肌和确保你的臀部和胸部保持在打开的方向，在你的垫子上；6.慢慢地把你的头转过来看着上方；7.保持30秒到1分钟；8.结束的时候，吸气用你的右脚和核心的肌肉抬起你的身体，恢复。,"1.加强脚踝,大腿和核心肌群；2.伸展胯部,腹股沟,大腿内侧及侧腰部；3.治疗颈部以及肩关节部位的疼痛；4.缓解颈椎僵直症，有很好的疗效，使得脊椎骨骼柔韧，并提高精神集中。","如果膝盖,肩膀或颈椎发炎,请勿练习。",含胸拱背，胸腔朝下解决方式：翻转胸腔指向正前方前腿压力过大，重心不均衡解决方式：后腿内侧收紧上提下侧腰挤压解决方式：下侧腰同等舒展
131,女神式,1.山式站姿进入；2.右脚向右侧打开，双脚分开宽过与肩，双脚分别向外分开45度；3.吸气，双臂向上伸直，呼气，下蹲屈膝并弯曲手肘，指尖朝上，掌心朝外；4.大腿与地面保持平行；5.肩膀朝下用力，挺胸，微微翘起臀部以保持脊柱延伸；6.保持5-8稳定的呼吸；7.退出体式时，吸气，伸直双腿，手臂向上伸直，呼气，放松放下手臂，转身回到垫子前端山式站姿。,1.伸展腹股沟，髋部和大腿内侧肌肉群；2.加强踝关节，大腿和臀部力量，塑造臀腿部线条有很好的效果。,如有脚踝、膝关节、腿部，臀部或者肩膀的炎症，请勿练习。,上半身过于向前解决方式：提胸腔向上，上背部向后靠膝关节不舒适解决方式：膝盖朝向脚趾的方向
132,起跑扭转式,1.山式站立；2.呼气，上身前屈，右脚后退一步，做起跑式；3.吸气，胸腔向前延展，将双手合十于胸前，呼气扭转向左侧；4.展开胸腔，双手掌心互推，大手指指向胸腔正中间；5.目光注视左上方，两边髋部保持平行（不要向一侧倾斜）；6.保持5-8次呼吸；7.退出体式时，呼气低头看地面，后脚一步向前收回，回到前屈，并放松身体，吸气，起身回到山式站立。,1.拉伸肩膀，核心肌肉，上背部灵活脊柱，腹股沟的肌肉；2.加强腿部和臀部力量、身体的平衡感；3.按摩腹部内脏，防止便秘，具有排毒的功效。,如有臀部，颈部或者肩膀的炎症，请勿练习。,双手的位置在上方胸腔或者上方肩膀处解决方式：保持双手掌心互推的力，大拇指指向胸腔的中线。腹股沟挤压解决方式：腹股沟柔软
133,高位起跑式,1.山式站立进入；2.双手扶髋，右腿向后撤一大步，脚跟上提，转动右侧髋部向前的同时后腿内侧有力上提，吸气双手臂向上延伸，大臂到耳朵两侧，掌心相对；4.确保左膝位于脚踝的正上方且对准前方第二脚趾；5.吸气的同时将手臂举过头顶，掌心相对；6.手臂轻微后摆，扩展胸腔，身体微微后仰。尾椎内收，保护腰背部；7.肩膀放松，目视两手之间的地方；8.坚持5-8次稳定的呼吸；9.退出体式时，呼气双臂落回髋两侧，吸气，后脚一步向前回到山式。,1.伸展髋部和肩部，扩张胸腔；2.增强足弓、脚腕、膝部和大腿的力量及身体的平衡感；3.改善消化系统和循环系统的功能，缓解坐骨神经痛等症状。,"1.如果有胯部,膝盖或肩膀发炎的问题,请勿练习。2.此体式较耗体力，心脏较弱的人不宜做这个体式，即使身体较为强健的人也最好不要在这个体式上停留过长的时间。",骨盆倾斜解决方式：前方大腿根部向后重心在前腿，后腿伸不直解决方式：后退内侧上提，后膝自然会伸直
134,山式,"1.双脚并拢或打开与胯宽,脚跟稍微比脚趾更宽一些；2.提起脚趾,之后张开平铺于垫子上；3.将身体重量平均分布于双脚；4.肚脐找向脊柱方向,让尾骨自然下沉；5.尾骨向前收,大腿骨向后推,找到相反方向的对抗力量；6.延长脖子后侧,头顶找向天花板；7.双臂自然落于身体两侧,肩膀放松,脸部放松；8.在体式当中感到稳定性,专注于力量,平衡和放松之间的平衡；9.舒适地保持5-8次呼吸，或者更长。","1,通过伸展脊柱矫正不良姿势；2.使身体每个部分调整归位；3.防止因衰老而引起的脊柱、腿脚的老化；4.山式是一个恢复身体活力和能力的姿势，可以增强身体的平衡和稳定感。","1.如脚踝有不适者,请勿练习；2.膝关节不适的学员可保持微屈双膝。有坐骨神经痛、或骶骨有病变的人谨慎练习。",塌腰，肋骨外翻解决方式：呼气，肋骨内收
135,摩天式,"1.山式站立；2.吸气,双手十指相扣,翻转掌心向上；3.缓慢提起脚跟向上；4.感觉身体向上拉长,并保持重心平衡；5.保持5-8次深长的呼吸；6.退出体式,先将脚跟落回地面，呼气,松开双手，回到山式。",1.拉伸侧腰，手臂外侧，伸展脊柱促进身体顺位；2.挺拔上身，塑造良好体态，按摩腹部器官；3.塑造小腿肌肉线条，增强身体的平衡稳定性；4.此体式早上练习非常适宜。,如有肩膀、脚踝炎症，请勿练习。,耸肩向上解决方式：肩膀保持下沉双脚站不稳解决方式：脚踝向内收或在小腿内侧夹砖
136,反战士式,1.战士二进入；2.吸气，右臂向耳朵方向伸展，左手自然向下扶于左腿上方；3.抬头眼睛看向上方手指尖；4.保持均匀的呼吸、前膝垂直脚踝并向外打开对准第二脚趾，后脚外侧用力推地、腹部内收，以免腰椎受到挤压；5.感受侧腰的伸展；6.呼气，双手引领身体回到战士二式；7.退出时吸气，伸直右腿，换边练习。转动右脚向内收回，左脚向外打开90度，呼气，臀部向下沉。,1.加强臀部、腿部、核心肌群和手臂的力量及强健脚踝稳定性；2.拉伸肩部、肋间肌和腹斜肌、髋部；3.帮助放松，平静头脑。,1.如有背部、肩膀、膝盖或髋部发炎，请勿练习。,重心不均匀，前腿压力较大解决方式：后腿内侧有力上提，分担前腿压力
137,侧角扭转伸展式,1.山式站立；2.呼气，上身前屈，右脚后退一步，做起跑式；3.右手接触垫子，右转胸腔放于左脚外侧。左膝外侧抵住右肩膀后侧；4.向左侧展开胸腔，伸出左臂，指向天花板；5.目光注视左手之间，压脚根的同时右腿尽力向后拉伸；6.保持5-8次呼吸；7.退出体式时，呼气低头看地面，后脚一步向前收回，回到前屈，并放松身体，吸气，起身回到山式站立。,1.增强脚踝、大腿、肩部、核心肌群和腰背部的力量；2.拉伸髋部、大腿内侧、胸部，还可缓解背部僵紧肌肉；3.促进全身的平衡发展。腰部的扭转可激发腰椎和腹部器官的活力，促进肠胃蠕动和消化过程。,如脚踝、背部、肩膀或髋部发炎，请勿练习。,重心不均匀，前腿压力较大解决方式：1.做不到的学员可后膝落地来保持。2.后腿内侧上提，后膝伸直扭转空间小解决方式：将腹腔向上提，延展脊柱后再扭转
138,三角扭转伸展式,1.山式站立进入；2.呼气，上体前屈，右脚后撤，脚尖向外侧扭转45度；3.吸气，右手掌放在右脚外侧的垫子上；4.呼气，向左侧转动肩膀，伸直左臂，指向天花板；5.调整髋部两端平行，扭转头部，目视左手；6.双脚内侧均匀下压地面；7.保持5-8次稳定的呼吸；8.退出体式时，呼气，低头看地面，两手扶地，吸气，上身直立向上，向前迈一步，呼气，回到山式站立。,1.拉伸腿筋、胯部、腰背部和胸部；2.增强臀部、腿部肌肉力量；3.增加脊柱下部的血液循环，消除背部疼痛；4.提升平衡感和专注力。,1.如背部或髋部发炎，请勿练习；2.注意扭转式呼吸的稳定与流畅。,双脚重心不稳解决方式：初学者下方手推砖来保持稳定骨盆歪斜解决方式：有意识的将前方腹股沟向后推送，保持骨盆端正
139,站立扭转体前屈,1.山式站立进入；2.吸气时抬起双臂，呼气身体向下前屈，进入站立前屈；3.左手放在脚趾头前方的垫子上；4.弯曲右膝，向左侧转动肩膀，并扩展胸腔；5.左臂抬起指向天花板，转动头部，目视指尖；6.保持5-8次稳定的呼吸；7.退出体式时，呼气，将左手放到垫子上，回到前屈。吸气时向上，回到山式。,1.拉伸腿筋、腰背部、肩膀和胸部；2.增强上背部的核心肌群的力量；3.缓解背部疼痛，刺激按摩腹部内脏器官。,如有背部或肩膀发炎，请勿练习。,胸腔朝向下解决方式：下方手可推砖来保持。胸腔指向正前方呼吸急促、混乱解决方式：保持呼吸自然和稳定
140,风吹树式,1.山式站立进入；2.吸气，双臂举过头顶，双手三指相扣，食指指向上方；3.呼气，上半身向右弯曲；4.指尖指向右侧，双臂紧贴耳侧，请勿向前倾斜；5.双腿、臀部和腹部轻微用力。平稳地呼吸，想象用胸骨去触碰天花板，胸腔打开双脚均匀用力踩地；6.保持5-8次呼吸；7.退出体式时，吸气并缓缓地收回身体，呼气的同时放松、回到山式。,1.增强腰髋部和肩膀的灵活性；2.使脊柱得到侧向的伸展；补充全身的精力，驱散睡意；3.促进消化和排泄；促进淋巴液的流动，帮助排毒并增加免疫力；4.此体式早上练习非常适宜。,如髋部、背部或肩膀发炎，请勿练习。,耸肩、手臂在面部前方解决方式：向下弯的幅度减少，将手臂放于耳朵两侧或者后侧，同时肩膀下沉
141,站立后弯,"1.山式站立进入2.双手掌扶髋部两侧3.胯部稍微向前,双肩后旋,开始让你的躯干往后4.抬头看向天花板,让手臂支撑你的重量,尾骨内收,双腿发力5.保持5-8次稳定的呼吸6.退出体式,吸气,从胸口开始把身体带起向上,呼气，回到山式",1.伸展腹前侧，改善驼背不良体态。2.强化后背部及核心肌肉。3.缓解内心焦虑，烦躁及轻微抑郁。,"如有后背,胯部或膝盖炎症,请勿练习。",肋骨外翻，鼓肚子解决方式：肋骨内收，腹部内收，根据自身情况将后弯幅度适当减小
142,站立侧腰伸展,"1.山式站立；2.吸气,双手举过头顶；3.呼气,左手往下直到左大腿,保持腹部微收,缓慢把你的左手掌向下,右手向上举过头顶；4.保持呼吸顺畅,双脚均匀压向地板；5.保持5-8次平稳的呼吸；6.退出体式,吸气时缓慢起身,呼气把双臂落回到身体两侧山式站姿。",1.增强腰髋部和肩膀的灵活性；2.使脊柱得到侧向的伸展；补充全身的精力，驱散睡意；3.促进消化和排泄；促进淋巴液的流动，帮助排毒并增加免疫力。,"如有胯部,后背或肩膀发炎的状况,请勿练习。",手臂在面部前方解决方式：向下弯的幅度减少，将手臂放于耳朵旁侧或者后侧，同时肩膀下沉
143,三角式,1.山式站立进入；2.双手扶髋，右脚向后腿一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.转动右脚向正前方，后脚为内扣，双臂向两侧伸展于肩平行；5.吸气左手伸向左侧，好比是你在用手够架子上的东西，身体不要前倾；6.左手向下触碰胫骨、脚踝或地板。检查双脚、胯部和肩膀是否处于同一平面上；7.右臂与地面垂直，掌心向前，肩膀放松；8.扭转头部，目视右手指尖；9.保持5-8次稳定的呼吸；10.退出体式时，呼气低头，吸气腿部与腹部肌肉用力上半身回到直立。,1.增强核心肌群、脚踝、膝盖和大腿的力量；2.拉伸胸部、肩膀、腹股沟肌肉、腿筋和髋部的柔韧性；3.防止因衰老而引起的脊柱、腿脚的老化；4.提升平衡感和专注力。,1.如背部、膝盖或髋部发炎，请勿练习。2.如有心脏病，建议靠着墙来练习，不要抬手臂，将上方的手臂放在髋部上。,上身含胸拱背解决方式：将下方手扶到小腿或者砖的上方，胸腔指向正前方。髋内扣解决方式：展开上方髋，后背好像靠着墙
144,战士一式,1.山式站立进入；2.双手扶髋，右向后撤一大步，脚尖微内扣，转动右侧髋部向前的同时后脚用力向下踩地，吸气双手臂向上延伸，大臂到耳朵两侧，掌心相对；4.确保左膝位于脚踝的正上方且对准前方第二脚趾；5.吸气的同时将手臂举过头顶，掌心相对；6.手臂轻微后摆，扩展胸腔，身体微微后仰。尾椎内收，保护腰背部；7.肩膀放松，目视两手之间的地方；8.坚持5-8次稳定的呼吸；9.退出体式时，呼气双臂落回髋两侧，吸气，后脚一步向前回到山式。,1.增强大腿、脚踝、臀肌、核心肌群、腰背部和肩膀的力量；2.拉伸腹股沟肌肉、髋部、胸部和肩膀；3.可作为后仰姿势的热身动作。,如肩膀、髋部、膝盖或脚踝发炎，请勿练习。,肋骨外翻解决方式：呼气时肋骨内收骨盆歪斜解决方式：推动前方臀部向后，将骨盆摆正
145,战士二式,1.山式站立进入；2.双手扶髋，右脚向后迈一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.转动右脚向正前方，后脚为内扣，吸气双臂向两侧张开，呼气时屈右膝臀部向下；5.转动头部，目光注视右手指尖；6.尾椎内收，腹部收紧，双臂向两侧延展。肩膀放松，不要耸肩；7.保持5-8次呼吸；8.退出体式时，呼气并放下双臂，后腿向前迈。吸气的同时直立上身，回到山式。,1.增强大腿、脚踝、臀肌、核心肌群、手臂和肩膀的力量。2.拉伸腹股沟肌肉、髋部和胸部。3.提升平衡感和专注力。,如肩膀、髋部或膝盖发炎，请勿练习。,上身躯干过于向前解决方式：上身躯干向后移动重心都在前腿解决方式：后退内侧上提，均衡前腿压力
146,双脚式站立,1.山式站立进入；2.双手扶髋，右脚向后腿一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.保持5-8次稳定的呼吸，或者更长；5.退出体式时，身体转向垫子的正前方，双脚并拢，回到山式。,1.增强脚踝、小腿和大腿的力量；2.伸展脊柱顺位、髋部和大腿内侧。,如脚踝、髋部或膝盖发炎，请勿练习。,双脚距离太近解决方式：保持一条腿长的距离
